instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
instance047.gr,Track1,2500,5000,10,0.001601,111.777253,36,1,0,155.638441,36,1,0,90206.105811,-1,0,1,90011.260606,71620.255179,36,1,1,1.000000,1.000000,-1.000000,0.014400,0.014400,-1.000000,0.014400
instance048.gr,Track1,3023,5575,10,0.001221,43.782840,24,1,0,139.192768,24,1,0,90208.426928,-1,0,1,90029.180272,90029.180272,-1,0,1,-1.000000,-1.000000,-1.000000,0.007939,0.007939,-1.000000,-1.000000
instance049.gr,Track1,3221,5938,10,0.001145,71.260546,25,1,0,118.731884,25,1,0,90186.922584,-1,0,1,90004.846640,42910.824693,24,1,1,1.041667,1.041667,-1.000000,0.007762,0.007762,-1.000000,0.007451
instance050.gr,Track1,5181,8893,10,0.000663,73.445473,28,1,0,221.966261,28,1,0,90681.756837,-1,0,1,90020.457758,2504.595756,26,1,1,1.076923,1.076923,-1.000000,0.005404,0.005404,-1.000000,0.005018
instance051.gr,Track1,2500,12500,10,0.004002,598.231499,74,1,0,363.426675,74,1,0,90578.191328,-1,0,1,90004.052749,90004.052749,-1,0,1,-1.000000,-1.000000,-1.000000,0.029600,0.029600,-1.000000,-1.000000
instance052.gr,Track1,2500,62500,10,0.020008,2.534781,-1,0,0,1.703431,-1,0,0,1.893443,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance053.gr,Track1,128,227,11,0.027928,4.976426,41,1,0,95.096078,41,1,0,986.272229,25,1,0,90001.365937,124.243399,20,1,1,2.050000,2.050000,1.250000,0.320312,0.320312,0.195312,0.156250
instance054.gr,Track1,123,233,11,0.031054,3.900934,59,1,0,78.352604,59,1,0,1297.900069,36,1,0,90000.346872,4084.325600,26,1,1,2.269231,2.269231,1.384615,0.479675,0.479675,0.292683,0.211382
instance055.gr,Track1,191,302,11,0.016644,0.573537,-1,0,0,0.829920,-1,0,0,0.765903,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance056.gr,Track1,212,381,11,0.017035,1.060879,-1,0,0,0.952341,-1,0,0,0.629706,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance057.gr,Track1,237,390,11,0.013946,4.412433,36,1,0,64.160070,36,1,0,2830.026922,33,1,0,90000.985904,432.098023,25,1,1,1.440000,1.440000,1.320000,0.151899,0.151899,0.139241,0.105485
instance058.gr,Track1,317,476,11,0.009504,1.653277,-1,0,0,0.956765,-1,0,0,0.640833,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance059.gr,Track1,278,478,11,0.012415,1.260004,-1,0,0,0.990268,-1,0,0,0.676002,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance060.gr,Track1,338,541,11,0.009499,5.751964,30,1,0,74.258326,30,1,0,11805.953058,28,1,0,90001.004626,34194.596137,26,1,1,1.153846,1.153846,1.076923,0.088757,0.088757,0.082840,0.076923
instance061.gr,Track1,353,608,11,0.009786,1.971358,-1,0,0,0.838058,-1,0,0,6.812428,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance062.gr,Track1,402,695,11,0.008623,7.614391,37,1,0,96.238683,37,1,0,24785.463705,35,1,0,90000.953484,73752.595147,34,1,1,1.088235,1.088235,1.029412,0.092040,0.092040,0.087065,0.084577
instance063.gr,Track1,572,963,11,0.005897,5.141162,38,1,0,84.385168,38,1,0,90048.308031,-1,0,1,90006.354734,2949.891846,33,1,1,1.151515,1.151515,-1.000000,0.066434,0.066434,-1.000000,0.057692
instance064.gr,Track1,663,1154,11,0.005259,22.259386,30,1,0,79.673757,30,1,0,90125.673595,-1,0,1,90002.773698,2944.597270,28,1,1,1.071429,1.071429,-1.000000,0.045249,0.045249,-1.000000,0.042232
instance065.gr,Track1,720,1269,11,0.004903,18.586211,33,1,0,136.311237,33,1,0,90069.042674,-1,0,1,90002.080189,5389.529506,32,1,1,1.031250,1.031250,-1.000000,0.045833,0.045833,-1.000000,0.044444
instance066.gr,Track1,921,1558,11,0.003677,7.906764,36,1,0,13.637997,36,1,0,3976.690118,-1,0,1,90005.830366,17292.275352,33,1,1,1.090909,1.090909,-1.000000,0.039088,0.039088,-1.000000,0.035831
instance067.gr,Track1,3675,6709,11,0.000994,70.189468,23,1,0,48.784278,23,1,0,85147.199188,-1,0,1,90012.109553,1621.558835,20,1,1,1.150000,1.150000,-1.000000,0.006259,0.006259,-1.000000,0.005442
instance068.gr,Track1,84,149,12,0.042742,1.375971,33,1,0,15.592607,33,1,0,143.723146,10,0,0,78.174476,78.174476,-1,0,0,-1.000000,-1.000000,-1.000000,0.392857,0.392857,0.119048,-1.000000
instance069.gr,Track1,64,192,12,0.095238,1.920124,49,1,0,17.355321,49,1,0,272.823637,34,1,0,519.166484,240.446597,34,1,0,1.441176,1.441176,1.000000,0.765625,0.765625,0.531250,0.531250
instance070.gr,Track1,64,192,12,0.095238,1.102646,49,1,0,16.700051,49,1,0,236.353152,34,1,0,485.216054,213.800302,34,1,0,1.441176,1.441176,1.000000,0.765625,0.765625,0.531250,0.531250
instance071.gr,Track1,233,386,12,0.014281,0.496813,-1,0,0,0.470977,-1,0,0,0.406729,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance072.gr,Track1,313,532,12,0.010895,2.480566,22,1,0,15.388419,22,1,0,8073.565090,22,1,0,90000.296348,452.892418,22,1,1,1.000000,1.000000,1.000000,0.070288,0.070288,0.070288,0.070288
instance073.gr,Track1,386,653,12,0.008788,0.520196,-1,0,0,0.468257,-1,0,0,0.437278,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance074.gr,Track1,539,985,12,0.006794,0.575784,-1,0,0,0.513481,-1,0,0,0.402550,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance075.gr,Track1,818,1462,12,0.004375,12.241509,23,1,0,19.179739,23,1,0,82048.087905,-1,0,1,90001.855249,2810.164300,22,1,1,1.045455,1.045455,-1.000000,0.028117,0.028117,-1.000000,0.026895
instance076.gr,Track1,1704,2991,12,0.002061,13.187840,38,1,0,22.532675,38,1,0,84747.251451,-1,0,1,90009.823658,36321.262307,35,1,1,1.085714,1.085714,-1.000000,0.022300,0.022300,-1.000000,0.020540
instance077.gr,Track1,1981,3633,12,0.001852,35.443938,22,1,0,22.860394,22,1,0,82121.827491,-1,0,1,90002.464744,2221.871335,22,1,1,1.000000,1.000000,-1.000000,0.011106,0.011106,-1.000000,0.011106
instance078.gr,Track1,3031,5239,12,0.001141,36.988640,39,1,0,29.200593,39,1,0,82214.914363,-1,0,1,90001.763488,25917.034541,36,1,1,1.083333,1.083333,-1.000000,0.012867,0.012867,-1.000000,0.011877
instance079.gr,Track1,4045,7094,12,0.000867,0.211540,-1,0,0,0.172472,-1,0,0,0.548076,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance080.gr,Track1,4221,7255,12,0.000815,31.395634,40,1,0,25.670645,40,1,0,84847.898666,-1,0,1,90025.353497,84397.624446,35,1,1,1.142857,1.142857,-1.000000,0.009476,0.009476,-1.000000,0.008292
instance081.gr,Track1,110,188,13,0.031359,1.373516,31,1,0,15.153892,31,1,0,430.209211,30,1,0,90000.090682,65.806592,21,1,1,1.476190,1.476190,1.428571,0.281818,0.281818,0.272727,0.190909
instance082.gr,Track1,339,579,13,0.010106,2.866823,42,1,0,16.496412,42,1,0,13703.573451,41,1,0,90000.915342,543.758363,37,1,1,1.135135,1.135135,1.108108,0.123894,0.123894,0.120944,0.109145
instance083.gr,Track1,346,583,13,0.009768,3.485071,37,1,0,20.059738,37,1,0,11952.633421,35,1,0,90000.278630,456.925811,35,1,1,1.057143,1.057143,1.000000,0.106936,0.106936,0.101156,0.101156
instance084.gr,Track1,311,613,13,0.012717,5.254251,109,1,0,20.078286,109,1,0,13887.602248,55,1,0,90000.577186,11826.218895,48,1,1,2.270833,2.270833,1.145833,0.350482,0.350482,0.176849,0.154341
instance085.gr,Track1,125,750,13,0.096774,4.534523,106,1,0,20.335798,106,1,0,1919.931805,103,1,0,90000.559986,3745.357564,94,1,1,1.127660,1.127660,1.095745,0.848000,0.848000,0.824000,0.752000
instance086.gr,Track1,125,750,13,0.096774,11.984535,106,1,0,24.539757,106,1,0,2595.259290,103,1,0,90000.513158,4771.712107,94,1,1,1.127660,1.127660,1.095745,0.848000,0.848000,0.824000,0.752000
instance087.gr,Track1,125,750,13,0.096774,9.244585,106,1,0,25.066138,106,1,0,2320.647777,103,1,0,90000.264993,3980.986236,94,1,1,1.127660,1.127660,1.095745,0.848000,0.848000,0.824000,0.752000
instance088.gr,Track1,777,1358,13,0.004505,12.600693,42,1,0,11.525782,42,1,0,81234.856937,-1,0,1,90000.368849,376.493950,42,1,1,1.000000,1.000000,-1.000000,0.054054,0.054054,-1.000000,0.054054
instance089.gr,Track1,933,1632,13,0.003754,0.436622,-1,0,0,0.289881,-1,0,0,0.255170,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance090.gr,Track1,1128,1905,13,0.002997,11.816117,46,1,0,26.859688,46,1,0,84176.329384,-1,0,1,90001.039581,24668.884597,40,1,1,1.150000,1.150000,-1.000000,0.040780,0.040780,-1.000000,0.035461
instance091.gr,Track1,1359,2458,13,0.002664,17.360053,43,1,0,18.521585,43,1,0,82246.580454,-1,0,1,90001.186694,8675.895459,43,1,1,1.000000,1.000000,-1.000000,0.031641,0.031641,-1.000000,0.031641
instance092.gr,Track1,128,247,14,0.030389,1.610117,67,1,0,12.530218,67,1,0,571.857594,30,0,0,2616.777216,2616.777216,-1,0,0,-1.000000,-1.000000,-1.000000,0.523438,0.523438,0.234375,-1.000000
instance093.gr,Track1,165,274,14,0.020251,0.470355,-1,0,0,0.434431,-1,0,0,0.263541,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance094.gr,Track1,145,283,14,0.027107,2.453910,68,1,0,20.393115,68,1,0,1542.194178,47,1,0,90001.328598,88492.327310,35,1,1,1.942857,1.942857,1.342857,0.468966,0.468966,0.324138,0.241379
instance095.gr,Track1,418,723,14,0.008296,7.089187,37,1,0,31.063885,37,1,0,38905.050926,35,1,0,90002.163612,2693.527035,33,1,1,1.121212,1.121212,1.060606,0.088517,0.088517,0.083732,0.078947
instance096.gr,Track1,468,822,14,0.007522,0.455033,-1,0,0,0.378528,-1,0,0,0.304513,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance097.gr,Track1,1196,2084,14,0.002916,0.549819,-1,0,0,0.393281,-1,0,0,0.391581,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance098.gr,Track1,138,257,15,0.027187,4.741283,54,1,0,10.303655,54,1,0,786.447268,51,1,0,1992.150075,100.191526,28,1,0,1.928571,1.928571,1.821429,0.391304,0.391304,0.369565,0.202899
instance099.gr,Track1,193,369,15,0.019916,4.474723,100,1,0,9.226107,100,1,0,5513.142466,49,1,0,90000.965504,311.571009,40,1,1,2.500000,2.500000,1.225000,0.518135,0.518135,0.253886,0.207254
instance100.gr,Track1,204,374,16,0.018062,4.930221,73,1,0,25.862759,73,1,0,6608.956029,39,1,0,90000.556179,1395.812236,38,1,1,1.921053,1.921053,1.026316,0.357843,0.357843,0.191176,0.186275
instance101.gr,Track1,311,579,16,0.012011,9.583473,117,1,0,12.940425,117,1,0,17665.120755,39,1,0,90001.326279,197.896618,38,1,1,3.078947,3.078947,1.026316,0.376206,0.376206,0.125402,0.122186
instance102.gr,Track1,391,666,16,0.008735,4.342829,48,1,0,12.711381,48,1,0,16742.103215,45,1,0,90001.246899,44097.080055,38,1,1,1.263158,1.263158,1.184211,0.122762,0.122762,0.115090,0.097187
instance103.gr,Track1,402,690,16,0.008561,0.344912,-1,0,0,0.235745,-1,0,0,0.473320,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance104.gr,Track1,499,861,16,0.006930,5.611655,40,1,0,15.532942,40,1,0,82798.012918,-1,0,1,90001.863634,488.600227,39,1,1,1.025641,1.025641,-1.000000,0.080160,0.080160,-1.000000,0.078156
instance105.gr,Track1,712,1217,16,0.004808,0.490923,-1,0,0,0.406779,-1,0,0,0.372461,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance106.gr,Track1,52,1326,16,1.000000,0.353134,-1,0,0,0.218664,-1,0,0,0.276265,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance107.gr,Track1,837,1438,16,0.004110,9.039818,61,1,0,17.016462,61,1,0,81932.579647,-1,0,1,90003.136444,3420.123645,54,1,1,1.129630,1.129630,-1.000000,0.072879,0.072879,-1.000000,0.064516
instance108.gr,Track1,822,1466,16,0.004345,15.605719,39,1,0,20.239934,39,1,0,84578.932368,-1,0,1,90002.637140,353.062106,29,1,1,1.344828,1.344828,-1.000000,0.047445,0.047445,-1.000000,0.035280
