instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
instance001.gr,Track3,6405,10454,16,0.000510,0.012844,-1,0,0,0.010049,-1,0,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance002.gr,Track3,7998,14734,16,0.000461,156.376744,30,1,0,52.160727,30,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.003751,0.003751,-1.000000,-1.000000
instance003.gr,Track3,8007,14743,24,0.000460,231.840485,60,1,0,42.495767,60,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.007493,0.007493,-1.000000,-1.000000
instance004.gr,Track3,19083,35636,24,0.000196,539.618931,52,1,0,83.835473,52,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.002725,0.002725,-1.000000,-1.000000
instance005.gr,Track3,8013,14749,30,0.000459,256.836539,74,1,0,35.488367,74,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.009235,0.009235,-1.000000,-1.000000
instance006.gr,Track3,19091,35644,31,0.000196,640.226555,72,1,0,78.792317,72,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.003771,0.003771,-1.000000,-1.000000
instance007.gr,Track3,38282,71521,34,0.000098,1585.453714,85,1,0,220.868669,85,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.002220,0.002220,-1.000000,-1.000000
instance008.gr,Track3,8017,14753,36,0.000459,283.847291,87,1,0,38.268016,87,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.010852,0.010852,-1.000000,-1.000000
instance009.gr,Track3,3803,6213,38,0.000859,244.583467,140,1,0,143.405390,140,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.036813,0.036813,-1.000000,-1.000000
instance010.gr,Track3,2363,3761,40,0.001348,93.331476,169,1,0,20.620655,169,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.071519,0.071519,-1.000000,-1.000000
instance011.gr,Track3,19100,35653,40,0.000195,803.560086,87,1,0,85.823150,87,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.004555,0.004555,-1.000000,-1.000000
instance012.gr,Track3,38294,71533,45,0.000098,1892.769490,111,1,0,160.081650,111,1,0,-1.000000,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,0.002899,0.002899,-1.000000,-1.000000
