instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
instance001.gr,Track2,74,146,25,0.054054,0.005340,-1,0,0,0.004949,-1,0,0,0.005160,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance002.gr,Track2,133,169,70,0.019253,0.001884,-1,0,0,0.001874,-1,0,0,0.001933,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance003.gr,Track2,87,176,30,0.047046,0.005290,-1,0,0,0.005049,-1,0,0,0.005170,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance004.gr,Track2,109,202,50,0.034319,0.005370,-1,0,0,0.005170,-1,0,0,0.005300,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance005.gr,Track2,201,253,100,0.012587,0.002355,-1,0,0,0.002294,-1,0,0,0.002324,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance006.gr,Track2,232,256,198,0.009554,0.001694,-1,0,0,0.016962,-1,0,0,0.001422,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance007.gr,Track2,216,288,100,0.012403,0.001473,-1,0,0,0.001934,-1,0,0,0.001483,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance008.gr,Track2,226,306,100,0.012035,0.001553,-1,0,0,0.001473,-1,0,0,0.001823,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance009.gr,Track2,229,312,100,0.011951,0.001573,-1,0,0,0.001363,-1,0,0,0.001402,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance010.gr,Track2,230,313,100,0.011885,0.002265,-1,0,0,0.002154,-1,0,0,0.002214,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance011.gr,Track2,244,337,100,0.011367,0.002084,-1,0,0,0.001864,-1,0,0,0.001863,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance012.gr,Track2,572,662,439,0.004054,0.001703,-1,0,0,0.001593,-1,0,0,0.002264,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance013.gr,Track2,1906,2083,1655,0.001147,0.002284,-1,0,0,0.001764,-1,0,0,0.002454,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance014.gr,Track2,3398,3966,2392,0.000687,0.001913,-1,0,0,0.002244,-1,0,0,0.002485,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance015.gr,Track2,114,228,33,0.035398,0.006653,-1,0,0,0.006382,-1,0,0,0.006492,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance016.gr,Track2,168,247,76,0.017608,0.001523,-1,0,0,0.001412,-1,0,0,0.001463,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance017.gr,Track2,210,276,100,0.012577,0.001493,-1,0,0,0.001323,-1,0,0,0.001342,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance018.gr,Track2,221,285,144,0.011724,0.001413,-1,0,0,0.001293,-1,0,0,0.001382,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
